ev_id,ntsb_no,ev_type,ev_date,ev_dow,ev_time,ev_tmzn,ev_city,ev_state,ev_country,ev_site_zipcode,ev_year,ev_month,mid_air,on_ground_collision,latitude,longitude,latlong_acq,apt_name,ev_nr_apt_id,ev_nr_apt_loc,apt_dist,apt_dir,apt_elev,wx_brief_comp,wx_src_iic,wx_obs_time,wx_obs_dir,wx_obs_fac_id,wx_obs_elev,wx_obs_dist,wx_obs_tmzn,light_cond,sky_cond_nonceil,sky_nonceil_ht,sky_ceil_ht,sky_cond_ceil,vis_rvr,vis_rvv,vis_sm,wx_temp,wx_dew_pt,wind_dir_deg,wind_dir_ind,wind_vel_kts,wind_vel_ind,gust_ind,gust_kts,altimeter,wx_dens_alt,wx_int_precip,metar,ev_highest_injury,inj_f_grnd,inj_m_grnd,inj_s_grnd,inj_tot_f,inj_tot_m,inj_tot_n,inj_tot_s,inj_tot_t,invest_agy,ntsb_docket,ntsb_notf_from,ntsb_notf_date,ntsb_notf_tm,fiche_number,lchg_date,lchg_userid,wx_cond_basic,faa_dist_office,dec_latitude,dec_longitude
"20191125X21347","WPR20FAMS1","ACC","10/25/19 00:00:00","Fr",423,"UTC","Shelter Cove","CA","USA","95589",2019,10,,,"394721N","1235816W","MEAS","Shelter Cove","0Q5","OFAP",15,162,73,,"WFAC",356,138,"KUKI",626,53,"UTC","NDRK","CLER",0,0,"NONE",,,10,88,16,0,"Y",3,"T","T",0,30.040001,,,,"FATL",,,,2,0,0,0,2,"N",,,,,,"04/18/22 18:00:05","coln","VMC",,39.789165,-123.9711
"20191125X81910","CEN20LA020","ACC","11/22/19 00:00:00","Fr",1938,"UTC","Tyler","TX","USA",,2019,11,,,"322923N","0952855W","EST",,,"OFAP",0,,,,"WFAC",1253,154,"KTYR",551,9,"UTC","DAYL",,0,600,"OVC",,,10,52,46,310,"U",12,"F","T",0,30.030001,,,,"SERS",,,,0,0,1,2,3,"N",,,,,,"04/06/22 18:00:15","coln","IMC",,32.489723,-95.48194100000001
"20191125X34226","DCA20WA018","ACC","11/23/19 00:00:00","Sa",15,"UTC","Bogota",,"CO",,2019,11,,,,,,"Bogota Eldorado Airport",,,0,,,,,,0,,,0,,,,0,0,,,,,0,0,0,"U",,"F","F",0,0,,,,"NONE",,,,0,0,93,0,93,"O",,,,,,"09/26/20 08:46:43",,,,,
"20191125X41722","DCA20WA019","ACC","11/24/19 00:00:00","Su",320,"UTC","Gomo",,"CD",,2019,11,,,,,,,,,0,,,,,,0,,,0,,,,0,0,,,,,0,0,0,"U",,"F","F",0,0,,,,"FATL",12,,,17,0,0,0,29,"O",,,,,,"09/26/20 08:46:43",,,,,
"20191125X51625","DCA20WA022","INC","11/14/19 00:00:00","Th",2135,"UTC","Lyon",,"FR",,2019,11,,,,,,,,,0,,,,,,0,,,0,,,,0,0,,,,,0,0,0,"U",,"F","F",0,0,,,,,,,,0,0,0,0,,"O",,,,,,"09/26/20 08:46:43",,,,,
"20191125X61245","DCA20WA025","INC","11/22/19 00:00:00","Fr",1118,,"Pettirossi",,"PY",,2019,11,,,,,,,,,0,,,,,,0,,,0,,,,0,0,,,,,0,0,0,"U",,"F","F",0,0,,,,,,,,0,0,0,0,,"O",,,,,,"09/26/20 08:46:43",,,,,
"20191024X25548","GAA20CA091","ACC","10/24/19 00:00:00","Th",1330,"UTC","Apopka","FL","USA","32798",2019,10,,,"284227N","0813455W","MEAS","Orlando Apopka","X04","ONAP",0,35,150,,"WFAC",1353,300,"KLEE",77,14,"UTC","DAYL","CLER",0,0,"NONE",,,10,81,70,0,"Y",,"T","T",0,30.120001,,,,"NONE",,,,0,0,1,0,1,"N",,,,,,"09/26/20 08:38:39",,"VMC",,28.7075,-81.581947
"20191125X82535","GAA20CA092","ACC","11/23/19 00:00:00","Sa",2330,"UTC","Lamar","CO","USA","81052",2019,11,,,"038411N","1024119W","MEAS","Lamar Muni","LAA",,0,288,3705,,"WFAC",,60,"KLAA",3704,0,,"DUSK",,0,0,,,,10,0,0,260,"U",8,"F","T",0,0,,,,"NONE",,,,0,0,1,0,1,"N",,,,,,"09/26/20 08:38:39",,"VMC",,38.069721,-102.688613
"20191125X73929","ANC19WA056","ACC","09/24/19 00:00:00","Tu",1900,"UTC","Campbell River",,"CA",,2019,9,,,,,,,,,0,,,,,,0,,,0,,,,0,0,,,,,0,0,0,"U",,"F","F",0,0,,,,"FATL",,,,1,0,0,0,1,"O",,,,,,"09/26/20 08:46:43",,,,,
"20191125X75557","GAA20WA093","INC","10/14/19 00:00:00","Mo",1745,"UTC","Foxcote house, Gloucestershire",,"GB",,2019,10,,,,,,,,,0,,,,,,0,,,0,,,,0,0,,,,,0,0,0,"U",,"F","F",0,0,,,,"NONE",,,,0,0,14,0,14,"O",,,,,,"09/26/20 08:46:43",,,,,
"20191126X70448","DCA20CA028","ACC","11/25/19 00:00:00","Mo",1852,"UTC","Palmdale","CA","USA","92301",2019,11,,,"343416N","0117408W",,"Gray Butte","04CA","ONAP",0,90,3028,,"WFAC",1858,0,"KGXA",3028,0,"UTC","DAYL","CLER",0,0,,,,10,0,0,0,"Y",18,"T","F",0,29.85,,,,"NONE",,,,0,0,0,0,0,"N",,,,,,"09/26/20 08:40:04",,"VMC",,34.571109,-117.668891
"20191105X00542","WPR20LA032","ACC","11/04/19 00:00:00","Mo",1900,"UTC","Hurricane","UT","USA","84737",2019,11,,,"037825N","1131822W","MEAS","General Dick Stout Field","1L8","ONAP",0,,3350,,"WFAC",1856,237,"KSGU",2884,12,"UTC","DAYL","CLER",0,0,"NONE",,,10,54,5,20,"U",6,"F","T",0,30.030001,,,,"NONE",,,,0,0,2,0,2,"N",,,,,,"06/01/22 18:00:13","coln","VMC",,37.140277,-113.30611
"20191123X25734","WPR20LA033","ACC","11/23/19 00:00:00","Sa",2130,"UTC","Caldwell","ID","USA","83605",2019,11,,,"433831N","0116389W","MEAS","Caldwell Industrial","EUL","ONAP",0,334,2431,,"WFAC",2056,14,"KEUL",2429,0,"UTC","DAYL","CLER",0,0,"NONE",,,10,46,27,100,"U",3,"F","T",0,30.360001,,,"METAR KEUL 232056Z AUTO 10003KT 10SM CLR 08/M03 A3036 RMK AO2 SLP298 T00781033 58024=","NONE",,,,0,0,2,0,2,"N",,,,,,"04/18/22 18:00:05","coln","VMC",,43.641944,-116.63583
"20191126X21659","ANC20FA005","ACC","11/26/19 00:00:00","Tu",139,"UTC","Blythe","CA","USA","92239",2019,11,,,"033417N","0115162W","MEAS",,,"OFAP",0,,,,"WFAC",1652,98,"KBLH",392,28,"UTC","NDRK",,0,5500,"OVC",,,7,72,25,320,"U",22,"F","F",30,29.629999,,,,"FATL",,,,1,0,0,0,1,"N",,,,,,"03/09/22 19:00:25","coln","VMC",,33.685278,-115.26722
"20191123X03127","GAA20CA094","ACC","11/23/19 00:00:00","Sa",1345,"UTC","Simsbury","CT","USA","06070",2019,11,,,"415458N","0724637W","MEAS","Simsbury","4B9","ONAP",14,196,195,,"WFAC",1351,73,"KBDL",175,4,"UTC","DAYL","FEW",3000,0,,,,10,39,21,250,"U",9,"F","F",15,30.01,,,,"MINR",,,,0,1,1,0,2,"N",,,,,,"09/26/20 08:41:02",,"VMC",,41.91611,-72.77694700000001
"20191127X41735","ANC20CA006","ACC","10/13/19 00:00:00","Su",145,"UTC","Moose Pass","AK","USA","99631",2019,10,,,"060310N","0149300W","MEAS","Private","PVT","ONAP",0,,485,,"WFAC",153,0,,,0,"UTC","DUSK","CLER",0,0,"NONE",,,10,45,25,330,"U",14,"F","F",21,30.02,,,,"NONE",,,,0,0,2,0,2,"N",,,,,,"09/26/20 08:41:02",,"VMC",,60.516666,-149.5
"20191127X61744","WPR20FA034","ACC","11/27/19 00:00:00","We",130,"UTC","North Las Vegas","NV","USA","89025",2019,11,,,"036240N","1151051W","EST","NORTH LAS VEGAS","VGT","OFAP",11,3,2205,,"WFAC",53,184,"KVGT",2203,11,"UTC","NDRK","CLER",0,0,"NONE",,,10,46,14,110,"U",6,"F","T",0,29.860001,,,,"FATL",,,,3,0,0,0,3,"N",,,,,,"03/09/22 19:00:28","coln","VMC",,36.400001,-115.18083
"20191024X72231","GAA20CA095","ACC","10/23/19 00:00:00","We",2100,"UTC","Marion","AL","USA","36786",2019,10,,,"323038N","0087235W","MEAS","Vaiden Field","A08","ONAP",0,40,220,,"WFAC",2155,265,"KDYA",112,29,"UTC","DAYL","CLER",0,0,"NONE",,,10,70,37,0,"U",,"F","F",0,30.129999,,,,"NONE",,,,0,0,2,0,2,"N",,,,,,"09/26/20 08:38:39",,"VMC",,32.510555,-87.384719
"20191127X60120","GAA19CA596","ACC","09/11/19 00:00:00","We",2143,"UTC","Reno","NV","USA","89506",2019,9,,,"039405N","1195235W","MEAS","Reno/Stead","RTS","ONAP",0,162,5050,,"WFAC",2155,164,"KRTS",5053,0,"UTC","DAYL","CLER",0,0,"NONE",,,10,68,28,150,"U",4,"F","T",0,30.209999,,,,"NONE",,,,0,0,1,0,1,"N",,,,,,"09/26/20 08:41:02",,"VMC",,39.668056,-119.876388
"20191129X00315","WPR20LA035","ACC","11/29/19 00:00:00","Fr",2345,"UTC","Byron","CA","USA","94514",2019,11,,,"374949N","1213734W","MEAS","Byron Airport","C83","ONAP",0,353,78,,"WFAC",2355,79,"KSCK",27,19,"UTC","DAYL","FEW",6000,7500,"BKN",,,10,52,37,140,"U",4,"F","T",0,29.879999,,,,"NONE",,,,0,0,1,0,1,"N",,,,,,"06/14/22 18:00:04","coln","VMC",,37.830276,-121.626113
"20191130X55947","ANC20FA007","ACC","11/30/19 00:00:00","Sa",411,"UTC","Cooper Landing","AK","USA","99572",2019,11,,,"603015N","0015095W","MEAS",,,"OFAP",0,,,,"WFAC",356,267,"PASX",113,26,"UTC","NDRK",,0,8000,"BKN",,,10,36,36,250,"U",3,"F","T",0,29.549999,,,,"FATL",,,,3,0,0,0,3,"N",,,,,,"12/06/22 19:00:00","coln","VMC",,60.504165,-150.151382
"20191130X65423","CEN20FA022","ACC","11/30/19 00:00:00","Sa",1833,"UTC","Chamberlain","SD","USA","57325",2019,11,,,"434556N","0992014W","EST","Chamberlain Muni","9V9","OFAP",0,270,1696,,"WFAC",1835,90,"9V9",1696,1,"UTC","DAYL",,0,500,"OVC",,,0.5,34,34,20,"U",6,"F","F",0,29.299999,,,,"FATL",,0,,9,0,0,3,12,"N",,,,,,"05/19/22 18:00:15","coln","IMC",,43.765556,-99.337219
"20191201X05432","CEN20FA023","ACC","12/02/19 00:00:00","Mo",25,"UTC","San Antonio","TX","USA","78216",2019,12,,,"029333N","0982959W","EST","SAN ANTONIO INTL","SAT","OFAP",2,302,809,,"WFAC",51,117,"KSAT",789,1,"UTC","NITE","CLER",0,0,"NONE",,,10,54,30,320,"U",4,"F","T",0,30.190001,,,"METAR KSAT 020051Z 32004KT 10SM CLR 12/M01 A3019 RMK AO2 SLP214 T01221006=","FATL",,,,3,0,0,0,3,"N",,,,,,"03/09/22 19:00:29","coln","VMC",,29.550832,-98.499725
"20191202X84853","CEN20WA024","ACC","11/28/19 00:00:00","Th",40,"UTC","Kingston",,"CA",,2019,11,,,"441652N","0763624W",,,,,0,,,,,,0,,,0,,,,0,0,,,,,0,0,0,"U",,"F","F",0,0,,,,"FATL",,,,7,0,0,0,7,"O",,,,,,"12/13/21 16:31:43","broda",,,44.281031,-76.606596
"20191126X43854","CEN20TA025","ACC","11/25/19 00:00:00","Mo",2210,"UTC","Mount Pleasant","TX","USA","75455",2019,11,,,"033539N","0945741W","MEAS","Mount Pleasant Rgnl","OSA","ONAP",0,,364,,"PILO",,10,"KOSA",363,0,,"DAYL","CLER",0,0,,,,10,0,0,0,"U",,"F","F",0,0,,,,"NONE",0,0,0,0,0,2,0,2,"N",,,,,,"01/28/21 13:27:48","hopj","VMC",,33.094165,-94.961387
"20191201X92833","ERA20LA045","ACC","11/30/19 00:00:00","Sa",1500,"UTC","Wrightsville","GA","USA","31096",2019,11,,,"032460N","0824836W","MEAS",,,"OFAP",0,,,,"WFAC",1455,350,"KOKZ",430,12,"UTC","DAYL",,0,3100,"OVC",,,10,61,50,210,"U",4,"F","T",0,30.059999,,,,"MINR",,,,0,2,0,0,2,"N",,,,,,"01/28/21 13:28:44","hopj","VMC",,32.766666,-82.809997
"20191202X50119","ERA20TA046","ACC","12/02/19 00:00:00","Mo",1740,"UTC","Vero Beach","FL","USA","32960",2019,12,,,"273845N","0802540W","MEAS","Vero Beach Regional","VRB","OFAP",0,210,24,,"WFAC",1753,53,"KVRB",28,1,"UTC","DAYL","FEW",3700,0,,,,10,72,54,300,"U",18,"F","F",25,29.870001,,,,"NONE",,,,0,0,1,0,1,"N",,,,,,"01/28/21 13:28:44","hopj","VMC",,27.645833,-80.42778
"20191202X53600","DCA20WA030","INC","11/21/19 00:00:00","Th",1855,"UTC","Odesa",,"UA",,2019,11,,,,,,,,,0,,,,,,0,,,0,,,,0,0,,,,,0,0,0,"U",,"F","F",0,0,,,,,,,,0,0,0,0,,"O",,,,,,"09/26/20 08:46:43",,,,,
